payment_id,file_id,reference_id,amount,currency,direction,counterparty,payment_date,expected_posting_date,status
PMT-000050,FILE-0001,REF-M-0050,2066.94,USD,inbound,Garcia-Thompson,2026-08-28,2026-08-29,unmatched
PMT-000051,FILE-0001,REF-M-0051,2317.6,USD,inbound,King-Garcia,2026-08-11,2026-08-12,unmatched
PMT-000052,FILE-0001,REF-M-0052,388.39,USD,inbound,"Newman, Diaz and Guerra",2026-08-15,2026-08-15,unmatched
PMT-000053,FILE-0001,REF-M-0053,820.76,USD,inbound,"Brown, Lee and Ortiz",2026-08-13,2026-08-13,unmatched
PMT-000054,FILE-0001,REF-M-0054,2021.99,USD,inbound,Keller PLC,2026-08-21,2026-08-21,unmatched
PMT-000055,FILE-0001,REF-M-0055,1144.37,USD,inbound,Holden-Sharp,2026-08-03,2026-08-04,unmatched
PMT-000056,FILE-0001,REF-M-0056,635.4,USD,inbound,Bush LLC,2026-08-07,2026-08-08,unmatched
PMT-000057,FILE-0001,REF-M-0057,2035.38,USD,inbound,Clark LLC,2026-08-05,2026-08-05,unmatched
PMT-000058,FILE-0001,REF-M-0058,1907.17,USD,inbound,"Lee, Johnson and Wilkerson",2026-08-11,2026-08-12,unmatched
PMT-000059,FILE-0001,REF-M-0059,2480.16,USD,inbound,"Moss, Jenkins and Marsh",2026-08-18,2026-08-18,unmatched
PMT-000060,FILE-0001,REF-M-0060,28.52,USD,inbound,Thomas-Lane,2026-08-08,2026-08-09,unmatched
PMT-000061,FILE-0001,REF-M-0061,2445.81,USD,inbound,Farrell Inc,2026-08-21,2026-08-22,unmatched
PMT-000062,FILE-0001,REF-M-0062,778.63,USD,inbound,Taylor-Goodwin,2026-08-25,2026-08-25,unmatched
PMT-000063,FILE-0001,REF-M-0063,1292.28,USD,inbound,Goodman and Sons,2026-08-24,2026-08-25,unmatched
PMT-000064,FILE-0001,REF-M-0064,806.53,USD,inbound,"Santos, Ho and Daniels",2026-08-27,2026-08-28,unmatched
PMT-000065,FILE-0001,REF-M-0065,1872.32,USD,inbound,Owens LLC,2026-08-25,2026-08-25,unmatched
PMT-000066,FILE-0001,REF-M-0066,133.56,USD,inbound,Tapia Inc,2026-08-05,2026-08-05,unmatched
PMT-000067,FILE-0001,REF-M-0067,2302.66,USD,inbound,Lamb Inc,2026-08-25,2026-08-26,unmatched
PMT-000068,FILE-0001,REF-M-0068,2082.11,USD,inbound,Thompson LLC,2026-08-21,2026-08-21,unmatched
PMT-000069,FILE-0001,REF-M-0069,559.97,USD,inbound,"Edwards, Russell and Williamson",2026-08-03,2026-08-04,unmatched
PMT-000070,FILE-0001,REF-M-0070,1140.6,USD,inbound,Schultz-Rice,2026-08-05,2026-08-06,unmatched
PMT-000071,FILE-0001,REF-M-0071,1140.69,USD,inbound,Rivas PLC,2026-08-01,2026-08-01,unmatched
PMT-000072,FILE-0001,REF-M-0072,1999.77,USD,inbound,Kent Group,2026-08-11,2026-08-12,unmatched
PMT-000073,FILE-0001,REF-M-0073,1677.57,USD,inbound,Williams Group,2026-08-04,2026-08-04,unmatched
PMT-000074,FILE-0001,REF-M-0074,1021.79,USD,inbound,Miller Inc,2026-08-25,2026-08-26,unmatched
PMT-000075,FILE-0001,REF-M-0075,285.2,USD,inbound,Turner-Martinez,2026-08-10,2026-08-11,unmatched
PMT-000076,FILE-0001,REF-M-0076,1043.41,USD,inbound,Santana-Patel,2026-08-19,2026-08-20,unmatched
PMT-000077,FILE-0001,REF-M-0077,1345.46,USD,inbound,"Miranda, Bass and Mitchell",2026-08-11,2026-08-12,unmatched
PMT-000078,FILE-0001,REF-M-0078,595.01,USD,inbound,"Rogers, Walsh and Brooks",2026-08-29,2026-08-29,unmatched
PMT-000079,FILE-0001,REF-M-0079,1089.56,USD,inbound,Lin-Brown,2026-08-20,2026-08-21,unmatched
PMT-000080,FILE-0001,REF-M-0080,430.02,USD,inbound,Butler-Adams,2026-08-13,2026-08-13,unmatched
PMT-000081,FILE-0001,REF-M-0081,2236.22,USD,inbound,Cobb Inc,2026-08-29,2026-08-30,unmatched
PMT-000082,FILE-0001,REF-M-0082,469.53,USD,inbound,Perez-Mathis,2026-08-17,2026-08-17,unmatched
PMT-000083,FILE-0001,REF-M-0083,1538.62,USD,inbound,Collins-Wang,2026-08-13,2026-08-13,unmatched
PMT-000084,FILE-0001,REF-M-0084,787.01,USD,inbound,"Washington, Maddox and Hill",2026-08-26,2026-08-26,unmatched
PMT-000085,FILE-0001,REF-M-0085,552.63,USD,inbound,Dudley-Frazier,2026-08-01,2026-08-01,unmatched
PMT-000086,FILE-0001,REF-M-0086,1882.15,USD,inbound,Page PLC,2026-08-04,2026-08-05,unmatched
PMT-000087,FILE-0001,REF-M-0087,1578.57,USD,inbound,Edwards-Dominguez,2026-08-04,2026-08-05,unmatched
PMT-000088,FILE-0001,REF-M-0088,1083.12,USD,inbound,Morris-Diaz,2026-08-07,2026-08-08,unmatched
PMT-000089,FILE-0001,REF-M-0089,1218.02,USD,inbound,"Palmer, Montgomery and Stone",2026-08-03,2026-08-03,unmatched
PMT-000090,FILE-0001,REF-M-0090,1146.04,USD,inbound,Taylor Ltd,2026-08-12,2026-08-12,unmatched
PMT-000091,FILE-0001,REF-M-0091,1872.88,USD,inbound,Lara-Boyer,2026-08-29,2026-08-30,unmatched
PMT-000092,FILE-0001,REF-M-0092,1211.64,USD,inbound,"Bautista, Gamble and Jones",2026-08-05,2026-08-06,unmatched
PMT-000093,FILE-0001,REF-M-0093,1398.34,USD,inbound,Rios and Sons,2026-08-13,2026-08-14,unmatched
PMT-000094,FILE-0001,REF-M-0094,1669.04,USD,inbound,Jacobs Ltd,2026-08-29,2026-08-29,unmatched
PMT-000095,FILE-0001,REF-M-0095,309.1,USD,inbound,Gregory Inc,2026-08-11,2026-08-12,unmatched
PMT-000096,FILE-0001,REF-M-0096,767.99,USD,inbound,"Johnson, Griffin and Marshall",2026-08-25,2026-08-25,unmatched
PMT-000097,FILE-0001,REF-M-0097,78.75,USD,inbound,Jefferson-Wagner,2026-08-24,2026-08-25,unmatched
PMT-000098,FILE-0001,REF-M-0098,1441.02,USD,inbound,"Matthews, Pittman and Miller",2026-08-23,2026-08-24,unmatched
PMT-000099,FILE-0001,REF-M-0099,1024.24,USD,inbound,Kelley and Sons,2026-08-21,2026-08-22,unmatched
PMT-000100,FILE-0001,REF-M-0100,968.32,USD,inbound,Malone Ltd,2026-08-04,2026-08-05,unmatched
PMT-000101,FILE-0001,REF-M-0101,663.73,USD,inbound,"Newton, Brown and Sanchez",2026-08-05,2026-08-06,unmatched
PMT-000102,FILE-0001,REF-M-0102,1497.33,USD,inbound,Jones-Valentine,2026-08-13,2026-08-13,unmatched
PMT-000103,FILE-0001,REF-M-0103,730.59,USD,inbound,Morris-Johnson,2026-08-18,2026-08-19,unmatched
PMT-000104,FILE-0001,REF-M-0104,599.87,USD,inbound,Hughes Ltd,2026-08-19,2026-08-19,unmatched
PMT-000105,FILE-0001,REF-M-0105,2113.79,USD,inbound,"Woods, Simpson and Acosta",2026-08-24,2026-08-24,unmatched
PMT-000106,FILE-0001,REF-M-0106,637.28,USD,inbound,"Rhodes, Gillespie and Lloyd",2026-08-16,2026-08-17,unmatched
PMT-000107,FILE-0001,REF-M-0107,2498.33,USD,inbound,"Lee, Hamilton and Garcia",2026-08-27,2026-08-28,unmatched
PMT-000108,FILE-0001,REF-M-0108,59.98,USD,inbound,"Friedman, Clark and Sanchez",2026-08-23,2026-08-24,unmatched
PMT-000109,FILE-0001,REF-M-0109,1094.1,USD,inbound,Saunders-Butler,2026-08-20,2026-08-20,unmatched
PMT-000110,FILE-0001,REF-M-0110,883.25,USD,inbound,Peterson Ltd,2026-08-25,2026-08-25,unmatched
PMT-000111,FILE-0001,REF-M-0111,2239.97,USD,inbound,Gibbs and Sons,2026-08-18,2026-08-18,unmatched
PMT-000112,FILE-0001,REF-M-0112,512.0,USD,inbound,Hughes-Lee,2026-08-13,2026-08-14,unmatched
PMT-000113,FILE-0001,REF-M-0113,48.85,USD,inbound,Schaefer LLC,2026-08-06,2026-08-06,unmatched
PMT-000114,FILE-0001,REF-M-0114,1209.99,USD,inbound,Coffey Inc,2026-08-05,2026-08-06,unmatched
PMT-000115,FILE-0001,REF-M-0115,263.14,USD,inbound,Hoffman-Hernandez,2026-08-18,2026-08-18,unmatched
PMT-000116,FILE-0001,REF-M-0116,823.96,USD,inbound,Miller PLC,2026-08-07,2026-08-07,unmatched
PMT-000117,FILE-0001,REF-M-0117,1377.12,USD,inbound,Huynh-Hinton,2026-08-24,2026-08-24,unmatched
PMT-000118,FILE-0001,REF-M-0118,1818.92,USD,inbound,"Bailey, Lopez and Rivas",2026-08-15,2026-08-16,unmatched
PMT-000119,FILE-0001,REF-M-0119,2238.04,USD,inbound,Harris and Sons,2026-08-07,2026-08-08,unmatched
PMT-000120,FILE-0001,REF-M-0120,1328.36,USD,inbound,Shaw and Sons,2026-08-29,2026-08-29,unmatched
PMT-000121,FILE-0001,REF-M-0121,2059.72,USD,inbound,"Lee, Johnson and Ray",2026-08-01,2026-08-01,unmatched
PMT-000122,FILE-0001,REF-M-0122,1811.42,USD,inbound,Huerta Group,2026-08-06,2026-08-07,unmatched
PMT-000123,FILE-0001,REF-M-0123,597.9,USD,inbound,"Frank, Nelson and Castaneda",2026-08-24,2026-08-24,unmatched
PMT-000124,FILE-0001,REF-M-0124,900.47,USD,inbound,"Allen, Hernandez and Griffin",2026-08-17,2026-08-18,unmatched
PMT-000125,FILE-0001,REF-M-0125,1283.95,USD,inbound,Gentry Inc,2026-08-24,2026-08-24,unmatched
PMT-000126,FILE-0001,REF-M-0126,81.03,USD,inbound,Mason-Duncan,2026-08-19,2026-08-20,unmatched
PMT-000127,FILE-0001,REF-M-0127,1789.1,USD,inbound,"Porter, Terry and Montoya",2026-08-25,2026-08-26,unmatched
PMT-000128,FILE-0001,REF-M-0128,424.16,USD,inbound,"Schneider, Tate and Skinner",2026-08-23,2026-08-23,unmatched
PMT-000129,FILE-0001,REF-M-0129,157.53,USD,inbound,Whitaker Inc,2026-08-10,2026-08-11,unmatched
PMT-000130,FILE-0001,REF-M-0130,2227.61,USD,inbound,Davis Ltd,2026-08-09,2026-08-09,unmatched
PMT-000131,FILE-0001,REF-M-0131,592.22,USD,inbound,Horn PLC,2026-08-18,2026-08-19,unmatched
PMT-000132,FILE-0001,REF-M-0132,1051.63,USD,inbound,"Gamble, Hall and Henderson",2026-08-20,2026-08-21,unmatched
PMT-000133,FILE-0001,REF-M-0133,2413.68,USD,inbound,Scott-Davis,2026-08-23,2026-08-23,unmatched
PMT-000134,FILE-0001,REF-M-0134,2222.68,USD,inbound,"Barrera, Henson and Blair",2026-08-13,2026-08-14,unmatched
PMT-000135,FILE-0001,REF-M-0135,1695.85,USD,inbound,Little-Pollard,2026-08-09,2026-08-10,unmatched
PMT-000136,FILE-0001,REF-M-0136,746.99,USD,inbound,Cox PLC,2026-08-29,2026-08-29,unmatched
PMT-000137,FILE-0001,REF-M-0137,1790.39,USD,inbound,Douglas and Sons,2026-08-26,2026-08-27,unmatched
PMT-000138,FILE-0001,REF-M-0138,399.27,USD,inbound,Davis Group,2026-08-10,2026-08-10,unmatched
PMT-000139,FILE-0001,REF-M-0139,233.39,USD,inbound,King LLC,2026-08-26,2026-08-26,unmatched
PMT-000140,FILE-0001,REF-M-0140,236.91,USD,inbound,Hunter Ltd,2026-08-05,2026-08-05,unmatched
PMT-000141,FILE-0001,REF-M-0141,1091.18,USD,inbound,"Sosa, Jimenez and Miller",2026-08-10,2026-08-11,unmatched
PMT-000142,FILE-0001,REF-M-0142,1748.36,USD,inbound,Smith and Sons,2026-08-14,2026-08-15,unmatched
PMT-000143,FILE-0001,REF-M-0143,111.4,USD,inbound,"Simmons, Ramirez and Morse",2026-08-24,2026-08-25,unmatched
PMT-000144,FILE-0001,REF-M-0144,426.46,USD,inbound,"Mcconnell, Orr and Vang",2026-08-12,2026-08-13,unmatched
PMT-000145,FILE-0001,REF-M-0145,1526.95,USD,inbound,"Schultz, Martinez and Peterson",2026-08-06,2026-08-07,unmatched
PMT-000146,FILE-0001,REF-M-0146,2310.25,USD,inbound,Ryan-Meyers,2026-08-26,2026-08-26,unmatched
PMT-000147,FILE-0001,REF-M-0147,397.47,USD,inbound,Bell-Stafford,2026-08-02,2026-08-03,unmatched
PMT-000148,FILE-0001,REF-M-0148,811.98,USD,inbound,"Scott, Warner and Ramos",2026-08-17,2026-08-18,unmatched
PMT-000149,FILE-0001,REF-M-0149,894.87,USD,inbound,Figueroa-Johnson,2026-08-30,2026-08-31,unmatched
PMT-000150,FILE-0001,REF-M-0150,2488.15,USD,inbound,"Wells, Smith and Richardson",2026-08-22,2026-08-22,unmatched
PMT-000151,FILE-0001,REF-M-0151,1025.52,USD,inbound,Edwards-Schmidt,2026-08-10,2026-08-11,unmatched
PMT-000152,FILE-0001,REF-M-0152,209.91,USD,inbound,"Ramirez, Long and Kelley",2026-08-10,2026-08-10,unmatched
PMT-000153,FILE-0001,REF-M-0153,621.02,USD,inbound,"Rivera, Miller and Howell",2026-08-05,2026-08-05,unmatched
PMT-000154,FILE-0001,REF-M-0154,454.6,USD,inbound,Davis Inc,2026-08-18,2026-08-19,unmatched
PMT-000155,FILE-0001,REF-M-0155,2063.07,USD,inbound,"Norris, Lawrence and Howard",2026-08-29,2026-08-29,unmatched
PMT-000156,FILE-0001,REF-M-0156,728.46,USD,inbound,Bolton-Vargas,2026-08-21,2026-08-22,unmatched
PMT-000157,FILE-0001,REF-M-0157,1549.89,USD,inbound,"Aguirre, Morse and Berger",2026-08-21,2026-08-22,unmatched
PMT-000158,FILE-0001,REF-M-0158,911.42,USD,inbound,"Mcbride, Harper and Gates",2026-08-14,2026-08-14,unmatched
PMT-000159,FILE-0001,REF-M-0159,1561.91,USD,inbound,"Garcia, Ruiz and Morgan",2026-08-10,2026-08-11,unmatched
PMT-000160,FILE-0001,REF-M-0160,2330.6,USD,inbound,Hodge-Barnes,2026-08-09,2026-08-09,unmatched
PMT-000161,FILE-0001,REF-M-0161,167.3,USD,inbound,"White, Dodson and Davis",2026-08-03,2026-08-03,unmatched
PMT-000162,FILE-0001,REF-M-0162,1055.74,USD,inbound,Stephenson Ltd,2026-08-13,2026-08-13,unmatched
PMT-000163,FILE-0001,REF-M-0163,2430.59,USD,inbound,"Bauer, Guerrero and Baker",2026-08-22,2026-08-23,unmatched
PMT-000164,FILE-0001,REF-M-0164,1951.0,USD,inbound,Frederick-Johnston,2026-08-15,2026-08-16,unmatched
PMT-000165,FILE-0001,REF-M-0165,1664.51,USD,inbound,Gentry Ltd,2026-08-09,2026-08-10,unmatched
PMT-000166,FILE-0001,REF-M-0166,414.21,USD,inbound,Scott Inc,2026-08-29,2026-08-29,unmatched
PMT-000167,FILE-0001,REF-M-0167,2403.33,USD,inbound,"Bates, Williams and Liu",2026-08-07,2026-08-08,unmatched
PMT-000168,FILE-0001,REF-M-0168,349.63,USD,inbound,"Shannon, Stone and Rodriguez",2026-08-24,2026-08-25,unmatched
PMT-000169,FILE-0001,REF-M-0169,661.78,USD,inbound,"Hendricks, Alvarez and Kelly",2026-08-20,2026-08-21,unmatched
PMT-000170,FILE-0001,REF-M-0170,1573.49,USD,inbound,Rodriguez-Ross,2026-08-10,2026-08-10,unmatched
PMT-000171,FILE-0001,REF-M-0171,293.34,USD,inbound,Reed-Gilmore,2026-08-11,2026-08-12,unmatched
PMT-000172,FILE-0001,REF-M-0172,846.83,USD,inbound,Norris-Smith,2026-08-07,2026-08-08,unmatched
PMT-000173,FILE-0001,REF-M-0173,1226.36,USD,inbound,Barber-Myers,2026-08-26,2026-08-27,unmatched
PMT-000174,FILE-0001,REF-M-0174,1916.8,USD,inbound,"Jackson, Stevenson and Newman",2026-08-17,2026-08-18,unmatched
PMT-000175,FILE-0001,REF-M-0175,1906.27,USD,inbound,Martinez-Brooks,2026-08-03,2026-08-03,unmatched
PMT-000176,FILE-0001,REF-M-0176,473.65,USD,inbound,White-Gordon,2026-08-14,2026-08-14,unmatched
PMT-000177,FILE-0001,REF-M-0177,850.86,USD,inbound,Myers PLC,2026-08-11,2026-08-12,unmatched
PMT-000178,FILE-0001,REF-M-0178,526.98,USD,inbound,"Mitchell, Cherry and Yoder",2026-08-13,2026-08-13,unmatched
PMT-000179,FILE-0001,REF-M-0179,225.52,USD,inbound,White PLC,2026-08-16,2026-08-17,unmatched
PMT-000180,FILE-0001,REF-M-0180,625.88,USD,inbound,Archer-Johnson,2026-08-23,2026-08-23,unmatched
PMT-000181,FILE-0001,REF-M-0181,740.27,USD,inbound,"Brooks, Thompson and Parker",2026-08-26,2026-08-27,unmatched
PMT-000182,FILE-0001,REF-M-0182,1098.23,USD,inbound,"Scott, Smith and Lee",2026-08-30,2026-08-30,unmatched
PMT-000183,FILE-0001,REF-M-0183,2198.32,USD,inbound,Good LLC,2026-08-26,2026-08-26,unmatched
PMT-000184,FILE-0001,REF-M-0184,46.21,USD,inbound,"Howard, Gray and Houston",2026-08-22,2026-08-22,unmatched
PMT-000185,FILE-0001,REF-M-0185,1503.27,USD,inbound,Nguyen-Savage,2026-08-18,2026-08-19,unmatched
PMT-000186,FILE-0001,REF-M-0186,1243.65,USD,inbound,"Gomez, Carter and Salinas",2026-08-26,2026-08-27,unmatched
PMT-000187,FILE-0001,REF-M-0187,1673.03,USD,inbound,Maldonado Ltd,2026-08-10,2026-08-11,unmatched
PMT-000188,FILE-0001,REF-M-0188,2218.42,USD,inbound,Mccarty Ltd,2026-08-29,2026-08-30,unmatched
PMT-000189,FILE-0001,REF-M-0189,689.45,USD,inbound,Ramirez-Adams,2026-08-04,2026-08-04,unmatched
PMT-000190,FILE-0001,REF-M-0190,1500.58,USD,inbound,Taylor-Chavez,2026-08-30,2026-08-30,unmatched
PMT-000191,FILE-0001,REF-M-0191,912.09,USD,inbound,Smith-Vargas,2026-08-02,2026-08-03,unmatched
PMT-000192,FILE-0001,REF-M-0192,2266.02,USD,inbound,Cline LLC,2026-08-27,2026-08-27,unmatched
PMT-000193,FILE-0001,REF-M-0193,422.89,USD,inbound,"Hernandez, Wyatt and Diaz",2026-08-26,2026-08-27,unmatched
PMT-000194,FILE-0001,REF-M-0194,1026.92,USD,inbound,"Nash, Sandoval and Kelly",2026-08-01,2026-08-01,unmatched
PMT-000195,FILE-0001,REF-M-0195,2035.51,USD,inbound,Matthews and Sons,2026-08-01,2026-08-02,unmatched
PMT-000196,FILE-0001,REF-M-0196,412.3,USD,inbound,Maxwell-Wright,2026-08-12,2026-08-12,unmatched
PMT-000197,FILE-0001,REF-M-0197,892.78,USD,inbound,Anderson-Khan,2026-08-13,2026-08-14,unmatched
PMT-000198,FILE-0001,REF-M-0198,2107.51,USD,inbound,Hunter Ltd,2026-08-14,2026-08-15,unmatched
PMT-000199,FILE-0001,REF-M-0199,1714.18,USD,inbound,Hansen-Moon,2026-08-02,2026-08-02,unmatched
PMT-000200,FILE-0001,REF-M-0200,856.38,USD,inbound,"Jackson, Maxwell and Keller",2026-08-14,2026-08-15,unmatched
PMT-000201,FILE-0001,REF-M-0201,2331.29,USD,inbound,Ross Group,2026-08-06,2026-08-06,unmatched
PMT-000202,FILE-0001,REF-M-0202,833.03,USD,inbound,"Mcclure, Francis and Foster",2026-08-19,2026-08-19,unmatched
PMT-000203,FILE-0001,REF-M-0203,1374.53,USD,inbound,Ramos-Hanson,2026-08-04,2026-08-04,unmatched
PMT-000204,FILE-0001,REF-M-0204,2170.45,USD,inbound,Bailey-Murphy,2026-08-04,2026-08-05,unmatched
PMT-000205,FILE-0001,REF-M-0205,258.57,USD,inbound,"Richardson, Jacobson and Montgomery",2026-08-01,2026-08-01,unmatched
PMT-000206,FILE-0001,REF-M-0206,1857.05,USD,inbound,Rivera-Brown,2026-08-02,2026-08-02,unmatched
PMT-000207,FILE-0001,REF-M-0207,122.98,USD,inbound,Mccarthy LLC,2026-08-27,2026-08-27,unmatched
PMT-000208,FILE-0001,REF-M-0208,1383.38,USD,inbound,Waters Ltd,2026-08-29,2026-08-29,unmatched
PMT-000209,FILE-0001,REF-M-0209,799.24,USD,inbound,Vazquez-Shaw,2026-08-13,2026-08-13,unmatched
PMT-000210,FILE-0001,REF-M-0210,902.1,USD,inbound,Rice-Watson,2026-08-20,2026-08-20,unmatched
PMT-000211,FILE-0001,REF-M-0211,1763.05,USD,inbound,Williams-Burton,2026-08-25,2026-08-26,unmatched
PMT-000212,FILE-0001,REF-M-0212,2425.99,USD,inbound,Jones-White,2026-08-29,2026-08-29,unmatched
PMT-000213,FILE-0001,REF-M-0213,189.69,USD,inbound,Stein-Griffin,2026-08-28,2026-08-29,unmatched
PMT-000214,FILE-0001,REF-M-0214,1136.06,USD,inbound,Brown Ltd,2026-08-13,2026-08-13,unmatched
PMT-000215,FILE-0001,REF-M-0215,1751.41,USD,inbound,Harris Inc,2026-08-01,2026-08-02,unmatched
PMT-000216,FILE-0001,REF-M-0216,42.65,USD,inbound,"Villa, Walker and Powell",2026-08-09,2026-08-10,unmatched
PMT-000217,FILE-0001,REF-M-0217,1139.34,USD,inbound,Williams Inc,2026-08-11,2026-08-12,unmatched
PMT-000218,FILE-0001,REF-M-0218,2323.46,USD,inbound,Moore Group,2026-08-03,2026-08-03,unmatched
PMT-000219,FILE-0001,REF-M-0219,1135.99,USD,inbound,"Jacobson, Schmitt and Sullivan",2026-08-29,2026-08-30,unmatched
PMT-000220,FILE-0001,REF-M-0220,1425.29,USD,inbound,"Lee, Vaughn and Barnes",2026-08-28,2026-08-29,unmatched
